varible_name,variable_desc,variable_values,etiquetas_de_valores,frecuencia
o1,"o1. La semana pasada, ¿trabajó al menos 1 hora, sin considerar quehaceres hogar?",1,1. Sí,"80,320"
o1,"o1. La semana pasada, ¿trabajó al menos 1 hora, sin considerar quehaceres hogar?",2,2. No,"86,073"
o2,"o2. Aunque no trabajó, ¿realizó alguna actividad por al menos 1 hora?",1,1. Sí,"1,966"
o2,"o2. Aunque no trabajó, ¿realizó alguna actividad por al menos 1 hora?",2,2. No,"84,107"
o3,"o3. Aunque no trabajó, ¿tenía algún empleo del que estuvo ausente temporalmente?",1,1. Sí,"3,424"
o3,"o3. Aunque no trabajó, ¿tenía algún empleo del que estuvo ausente temporalmente?",2,2. No,"80,683"
o4,o4. ¿Ha trabajado alguna vez?,1,1. Sí,"52,268"
o4,o4. ¿Ha trabajado alguna vez?,2,2. No,"28,415"
o5,"o5. Si le ofrecieran un trabajo, ¿estaría disponible para comenzar a trabajar?",1,"1. Sí, ahora mismo","16,151"
o5,"o5. Si le ofrecieran un trabajo, ¿estaría disponible para comenzar a trabajar?",2,"2. Sí, en otra época del año","5,256"
o5,"o5. Si le ofrecieran un trabajo, ¿estaría disponible para comenzar a trabajar?",3,3. No,"59,276"
o6,o6. ¿Buscó trabajo remunerado en las últimas 4 semanas?,1,1. Sí,"8,469"
o6,o6. ¿Buscó trabajo remunerado en las últimas 4 semanas?,2,2. No,"72,214"
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,1,1. Consiguió trabajo que empezará pronto o iniciará pronto una actividad por cuenta propia,472
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,2,2. Está esperando resultado de gestiones ya emprendidas,942
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,3,3. Tiene que cuidar a niños o niñas,"6,205"
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,4,4. Tiene que cuidar a algún adulto mayor,"1,915"
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,5,5. Tiene que cuidar a otro familiar,"1,195"
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,6,6. Está enfermo(a) o tiene una discapacidad,"8,898"
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,7,"7. Piensa que nadie le dará trabajo porque no cuenta con la capacitación requerida, por su edad, etc.",600
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,8,"8. Las reglas, horarios y distancias de los trabajos no le acomodan",173
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,9,9. Ofrecen sueldos muy bajos,226
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,10,10. Quehaceres del hogar,"7,535"
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,11,11. Estudiante,"15,979"
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,12,"12. Jubilado(a), montepiado(a) o pensionado(a)","23,035"
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,13,"13. Tiene otra fuente de ingreso (Seguro de Cesantía, mesadas, rentas, transferencias del Estado, etc.)",227
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,14,14. Por temor a contagiarse de COVID-19,74
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,15,15. Se cansó de buscar,354
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,16,16. Cree que no hay trabajo disponible,436
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,17,17. Busca cuando realmente lo necesita o tiene trabajo esporádico,797
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,18,18. No tiene interés en trabajar,"1,794"
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,19,19. Otra razón. Especifique,"1,357"
o7_esp,o7_esp. Especifique otra razón para no buscar trabajo,Texto,Válidos,"1,357"
o8,o8. ¿Cuántas semanas buscó o ha estado buscando trabajo?,-88,No sabe,778
o8,o8. ¿Cuántas semanas buscó o ha estado buscando trabajo?,rango: 0-80,Válidos,"9,105"
o9a,o9a. ¿Cuál es su ocupación u oficio?,Texto,Válidos,"85,710"
o9b,o9b. ¿Qué hace en su trabajo o negocio principal?,Texto,Válidos,"85,710"
oficio1_08,oficio1_08. Oficio (1 dígito) CIUO 08,-99,No responde,20
oficio1_08,oficio1_08. Oficio (1 dígito) CIUO 08,-88,No sabe,15
oficio1_08,oficio1_08. Oficio (1 dígito) CIUO 08,-66,Glosa no permite clasificación,5
oficio1_08,oficio1_08. Oficio (1 dígito) CIUO 08,rango: 0-9,Válidos,"85,670"
oficio4_08,oficio4_08. Oficio (4 dígitos) CIUO 08,-99,No responde,20
oficio4_08,oficio4_08. Oficio (4 dígitos) CIUO 08,-88,No sabe,15
oficio4_08,oficio4_08. Oficio (4 dígitos) CIUO 08,-66,Glosa no permite clasificación,5
oficio4_08,oficio4_08. Oficio (4 dígitos) CIUO 08,rango: 110-9629,Válidos,"85,670"
o10,o10. ¿Cuántas horas trabaja habitualmente por semana en su trabajo principal?,-88,No sabe,"1,236"
o10,o10. ¿Cuántas horas trabaja habitualmente por semana en su trabajo principal?,rango: 0-168,Válidos,"84,474"
o11,o11. ¿Está dispuesto a trabajar más horas a la semana?,-88,No sabe,"1,626"
o11,o11. ¿Está dispuesto a trabajar más horas a la semana?,1,"1. Sí, ahora mismo","26,901"
o11,o11. ¿Está dispuesto a trabajar más horas a la semana?,2,"2. Sí, en otra época del año","2,354"
o11,o11. ¿Está dispuesto a trabajar más horas a la semana?,3,3. No,"54,829"
o12,o12. ¿El trabajo o negocio principal es de tipo…?,-99,No responde,25
o12,o12. ¿El trabajo o negocio principal es de tipo…?,-88,No sabe,233
o12,o12. ¿El trabajo o negocio principal es de tipo…?,1,1. Permanente,"64,075"
o12,o12. ¿El trabajo o negocio principal es de tipo…?,2,2. De temporada o estacional,"8,387"
o12,o12. ¿El trabajo o negocio principal es de tipo…?,3,3. Ocasional o eventual,"8,521"
o12,o12. ¿El trabajo o negocio principal es de tipo…?,4,4. A prueba,513
o12,o12. ¿El trabajo o negocio principal es de tipo…?,5,5. Por plazo o tiempo determinado,"3,956"
o14,"o14. En su trabajo o negocio principal, ¿da boleta?",-88,No sabe,520
o14,"o14. En su trabajo o negocio principal, ¿da boleta?",1,"1. Sí, da boleta de honorarios","4,515"
o14,"o14. En su trabajo o negocio principal, ¿da boleta?",2,"2. Sí, da boleta de compra y venta (factura)","4,106"
o14,"o14. En su trabajo o negocio principal, ¿da boleta?",3,3. No,"76,569"
o15,"o15. En su trabajo o negocio principal, ¿trabaja como?",1,1. Patrón(a) o empleador(a),"3,234"
o15,"o15. En su trabajo o negocio principal, ¿trabaja como?",2,2. Trabajador(a) por cuenta propia,"20,736"
o15,"o15. En su trabajo o negocio principal, ¿trabaja como?",3,3. Empleado(a) u obrero(a) del sector público (Gobierno Central o Municipal),"8,496"
o15,"o15. En su trabajo o negocio principal, ¿trabaja como?",4,4. Empleado(a) u obrero(a) de empresas públicas,"3,367"
o15,"o15. En su trabajo o negocio principal, ¿trabaja como?",5,5. Empleado(a) u obrero(a) del sector privado,"46,695"
o15,"o15. En su trabajo o negocio principal, ¿trabaja como?",6,6. Servicio doméstico puertas adentro,166
o15,"o15. En su trabajo o negocio principal, ¿trabaja como?",7,7. Servicio doméstico puertas afuera,"2,020"
o15,"o15. En su trabajo o negocio principal, ¿trabaja como?",8,8. FF.AA. y del Orden,619
o15,"o15. En su trabajo o negocio principal, ¿trabaja como?",9,9. Familiar no remunerado,377
o16,"o16. La empresa, ¿está registrada en el SII o tiene inicio de actividades?",-88,No sabe,297
o16,"o16. La empresa, ¿está registrada en el SII o tiene inicio de actividades?",1,1. Sí,"8,285"
o16,"o16. La empresa, ¿está registrada en el SII o tiene inicio de actividades?",2,2. No,"15,388"
o19,"o19. En su trabajo principal, ¿tiene contrato de trabajo escrito?",-88,No sabe o no se acuerda si firmó contrato,542
o19,"o19. En su trabajo principal, ¿tiene contrato de trabajo escrito?",1,"1. Sí, firmó","51,715"
o19,"o19. En su trabajo principal, ¿tiene contrato de trabajo escrito?",2,"2. Sí, pero no ha firmado",587
o19,"o19. En su trabajo principal, ¿tiene contrato de trabajo escrito?",3,3. No tiene,"8,519"
o18,"o18. En su trabajo principal, ¿qué tipo de contrato o acuerdo de trabajo tiene?",-99,No responde,472
o18,"o18. En su trabajo principal, ¿qué tipo de contrato o acuerdo de trabajo tiene?",-88,No sabe,"1,891"
o18,"o18. En su trabajo principal, ¿qué tipo de contrato o acuerdo de trabajo tiene?",1,1. Plazo indefinido,"41,140"
o18,"o18. En su trabajo principal, ¿qué tipo de contrato o acuerdo de trabajo tiene?",2,2. Plazo fijo,"11,124"
o18,"o18. En su trabajo principal, ¿qué tipo de contrato o acuerdo de trabajo tiene?",3,3. Por obra o faena,"6,736"
o20,"o20. Según su contrato de trabajo, ¿la jornada de trabajo normal es?",-99,No responde,53
o20,"o20. Según su contrato de trabajo, ¿la jornada de trabajo normal es?",-88,No sabe,258
o20,"o20. Según su contrato de trabajo, ¿la jornada de trabajo normal es?",1,1. Jornada completa,"51,585"
o20,"o20. Según su contrato de trabajo, ¿la jornada de trabajo normal es?",2,2. Jornada parcial,"6,446"
o20,"o20. Según su contrato de trabajo, ¿la jornada de trabajo normal es?",3,3. Jornada prolongada,"1,944"
o20,"o20. Según su contrato de trabajo, ¿la jornada de trabajo normal es?",4,4. Otra,"1,077"
o21,o21. ¿Qué tipo de horario tiene en su trabajo actual?,-99,No responde,32
o21,o21. ¿Qué tipo de horario tiene en su trabajo actual?,-88,No sabe,127
o21,o21. ¿Qué tipo de horario tiene en su trabajo actual?,1,1. Solo diurno,"48,751"
o21,o21. ¿Qué tipo de horario tiene en su trabajo actual?,2,2. Solo nocturno,"1,188"
o21,o21. ¿Qué tipo de horario tiene en su trabajo actual?,3,3. Rotativo o turnos,"11,265"
o22,o22. ¿Con quién firmó su contrato o estableció su acuerdo de trabajo?,1,1. Directamente con el empleador(a) o negocio donde trabaja,"55,636"
o22,o22. ¿Con quién firmó su contrato o estableció su acuerdo de trabajo?,2,2. Con un contratista o subcontratista de bienes o servicios,"5,193"
o22,o22. ¿Con quién firmó su contrato o estableció su acuerdo de trabajo?,3,"3. Con un empleador(a) de servicios transitorios, suministradora de trabajadores o con un(a) contratista laboral",534
o23,"o23. ¿A qué se dedica el negocio, empresa o institución que le paga?",Texto,Válidos,"5,727"
o24,"o24. ¿A qué se dedica el negocio, empresa o institución donde trabaja?",Texto,Válidos,"85,710"
rama1_sub_rev4,rama1_sub_rev4. Actividad económica empresa que le paga (1 dígito),-88,No sabe,2
rama1_sub_rev4,rama1_sub_rev4. Actividad económica empresa que le paga (1 dígito),-66,Glosa no permite clasificación,1
rama1_sub_rev4,rama1_sub_rev4. Actividad económica empresa que le paga (1 dígito),rango: 1-20,Válidos,"5,724"
rama4_sub_rev4,rama4_sub_rev4. Actividad económica empresa que le paga (4 dígitos),-88,No sabe,3
rama4_sub_rev4,rama4_sub_rev4. Actividad económica empresa que le paga (4 dígitos),-66,Glosa no permite clasificación,2
rama4_sub_rev4,rama4_sub_rev4. Actividad económica empresa que le paga (4 dígitos),rango: 101-9701,Válidos,"5,722"
rama1,rama1. Actividad económica lugar donde trabaja (1 dígito) CAENES,-99,No responde,47
rama1,rama1. Actividad económica lugar donde trabaja (1 dígito) CAENES,-88,No sabe,6
rama1,rama1. Actividad económica lugar donde trabaja (1 dígito) CAENES,-66,Glosa no permite clasificación,41
rama1,rama1. Actividad económica lugar donde trabaja (1 dígito) CAENES,rango: 1-21,Válidos,"85,616"
rama4,rama4. Actividad económica lugar donde trabaja (4 dígitos) CAENES,-99,No responde,47
rama4,rama4. Actividad económica lugar donde trabaja (4 dígitos) CAENES,-88,No sabe,6
rama4,rama4. Actividad económica lugar donde trabaja (4 dígitos) CAENES,-66,Glosa no permite clasificación,145
rama4,rama4. Actividad económica lugar donde trabaja (4 dígitos) CAENES,rango: 101-9901,Válidos,"85,512"
o25,"o25. ¿Cuántas personas trabajan en ese negocio, empresa o institución en Chile?",-88,No sabe,"4,588"
o25,"o25. ¿Cuántas personas trabajan en ese negocio, empresa o institución en Chile?",1,1. Solo 1 persona (el entrevistado),"18,944"
o25,"o25. ¿Cuántas personas trabajan en ese negocio, empresa o institución en Chile?",2,2. De 2 a 5 personas,"13,060"
o25,"o25. ¿Cuántas personas trabajan en ese negocio, empresa o institución en Chile?",3,3. De 6 a 9 personas,"5,320"
o25,"o25. ¿Cuántas personas trabajan en ese negocio, empresa o institución en Chile?",4,4. De 10 a 49 personas,"13,830"
o25,"o25. ¿Cuántas personas trabajan en ese negocio, empresa o institución en Chile?",5,5. De 50 a 199 personas,"12,015"
o25,"o25. ¿Cuántas personas trabajan en ese negocio, empresa o institución en Chile?",6,6. 200 y más personas,"17,953"
o26a,"o26a. En su empleo principal, pertenece a: Sindicato",-88,No sabe,"1,182"
o26a,"o26a. En su empleo principal, pertenece a: Sindicato",1,1. Sí,"9,570"
o26a,"o26a. En su empleo principal, pertenece a: Sindicato",2,2. No,"70,728"
o26b,"o26b. En su empleo principal, pertenece a: Asociación de funcionarios",-88,No sabe,262
o26b,"o26b. En su empleo principal, pertenece a: Asociación de funcionarios",1,1. Sí,"1,850"
o26b,"o26b. En su empleo principal, pertenece a: Asociación de funcionarios",2,2. No,"6,384"
o26c,"o26c. En su empleo principal, pertenece a: Asociación gremial sectorial",-88,No sabe,"1,218"
o26c,"o26c. En su empleo principal, pertenece a: Asociación gremial sectorial",1,1. Sí,"2,830"
o26c,"o26c. En su empleo principal, pertenece a: Asociación gremial sectorial",2,2. No,"81,662"
o26d,"o26d. En su empleo principal, pertenece a: Colegio profesional",-88,No sabe,"1,076"
o26d,"o26d. En su empleo principal, pertenece a: Colegio profesional",1,1. Sí,"1,130"
o26d,"o26d. En su empleo principal, pertenece a: Colegio profesional",2,2. No,"83,504"
o28a_hr,o28a_hr. ¿Cuánto tiempo tarda en llegar desde su vivienda a su trabajo? Horas,rango: 0-9,Válidos,"84,574"
o28a_hr,o28a_hr. ¿Cuánto tiempo tarda en llegar desde su vivienda a su trabajo? Horas,-8,No sabe,"1,136"
o28a_min,o28a_min. ¿Cuánto tiempo tarda en llegar desde su vivienda a su trabajo? Minutos,rango: 0-59,Válidos,"84,574"
o28a_min,o28a_min. ¿Cuánto tiempo tarda en llegar desde su vivienda a su trabajo? Minutos,-88,No sabe,"1,136"
o28b,o28b. ¿Cuántas veces a la semana realiza este viaje?,-88,No sabe,677
o28b,o28b. ¿Cuántas veces a la semana realiza este viaje?,rango: 1-20,Válidos,"72,845"
o28c,o28c. ¿Qué medio de transporte utiliza habitualmente para realizar este viaje?,1,"1. Transporte público (bus, microbús, metro, taxi colectivo, etc.)","23,844"
o28c,o28c. ¿Qué medio de transporte utiliza habitualmente para realizar este viaje?,2,"2. Vehículo motorizado particular (auto, camioneta, motocicleta, otro)","32,507"
o28c,o28c. ¿Qué medio de transporte utiliza habitualmente para realizar este viaje?,3,3. A pie,"13,097"
o28c,o28c. ¿Qué medio de transporte utiliza habitualmente para realizar este viaje?,4,4. En bicicleta,"3,705"
o28c,o28c. ¿Qué medio de transporte utiliza habitualmente para realizar este viaje?,5,5. Otro vehículo no motorizado,149
o28c,o28c. ¿Qué medio de transporte utiliza habitualmente para realizar este viaje?,6,6. Otro vehículo motorizado,220
o28c_esp,o28c_esp. Especifique otro vehículo,Texto,Válidos,369
o28d,o28d. ¿Qué tipo de transporte público?,1,1. Bus (interurbano o interprovincial),"4,790"
o28d,o28d. ¿Qué tipo de transporte público?,2,2. Microbús,"10,808"
o28d,o28d. ¿Qué tipo de transporte público?,3,3. Metro,"2,926"
o28d,o28d. ¿Qué tipo de transporte público?,4,4. Taxi colectivo,"4,744"
o28d,o28d. ¿Qué tipo de transporte público?,5,"5. Taxi, radiotaxi o similar",428
o28d,o28d. ¿Qué tipo de transporte público?,6,6. Tren o Metrotren,148
o28e,o28e. ¿Qué tipo de vehículo motorizado particular?,1,1. Auto,"18,270"
o28e,o28e. ¿Qué tipo de vehículo motorizado particular?,2,2. Camioneta,"5,109"
o28e,o28e. ¿Qué tipo de vehículo motorizado particular?,3,3. Motocicleta,"1,065"
o28e,o28e. ¿Qué tipo de vehículo motorizado particular?,4,4. Transporte institucional (vehículo o bus de la institución o empresa),"7,284"
o28e,o28e. ¿Qué tipo de vehículo motorizado particular?,5,5. Otro transporte particular,779
o29,"o29. En el último mes, ¿tuvo otros trabajos además de su trabajo principal?",1,1. Sí,"4,101"
o29,"o29. En el último mes, ¿tuvo otros trabajos además de su trabajo principal?",2,2. No,"81,609"
o30,"o30. En ese trabajo secundario, ¿trabaja como…?",1,1. Patrón(a) o empleador(a),220
o30,"o30. En ese trabajo secundario, ¿trabaja como…?",2,2. Trabajador(a) por cuenta propia,"2,321"
o30,"o30. En ese trabajo secundario, ¿trabaja como…?",3,3. Empleado(a) u obrero(a) del sector público (Gobierno Central o Municipal),177
o30,"o30. En ese trabajo secundario, ¿trabaja como…?",4,4. Empleado(a) u obrero(a) de empresas públicas,99
o30,"o30. En ese trabajo secundario, ¿trabaja como…?",5,5. Empleado(a) u obrero(a) del sector privado,"1,161"
o30,"o30. En ese trabajo secundario, ¿trabaja como…?",6,6. Servicio doméstico puertas adentro,8
o30,"o30. En ese trabajo secundario, ¿trabaja como…?",7,7. Servicio doméstico puertas afuera,77
o30,"o30. En ese trabajo secundario, ¿trabaja como…?",8,8. FF.AA. y del Orden,4
o30,"o30. En ese trabajo secundario, ¿trabaja como…?",9,9. Familiar no remunerado,34
o31,o31. ¿Se encuentra afiliado(a) a algún sistema previsional?,-88,No sabe,"1,185"
o31,o31. ¿Se encuentra afiliado(a) a algún sistema previsional?,1,1. Sí,"110,734"
o31,o31. ¿Se encuentra afiliado(a) a algún sistema previsional?,2,2. No,"54,474"
o32,o32. ¿Cotizó durante el mes pasado en algún sistema previsional?,-88,No sabe,481
o32,o32. ¿Cotizó durante el mes pasado en algún sistema previsional?,1,"1. Sí, AFP (Administradora de Fondos de Pensiones)","61,568"
o32,o32. ¿Cotizó durante el mes pasado en algún sistema previsional?,2,"2. Sí, IPS ex INP","1,924"
o32,o32. ¿Cotizó durante el mes pasado en algún sistema previsional?,3,"3. Sí, Caja de Previsión de la Defensa Nacional (CAPREDENA)",712
o32,o32. ¿Cotizó durante el mes pasado en algún sistema previsional?,4,"4. Sí, Dirección de Previsión de Carabineros (DIPRECA)",510
o32,o32. ¿Cotizó durante el mes pasado en algún sistema previsional?,5,"5. Sí, otro. Especifique",344
o32,o32. ¿Cotizó durante el mes pasado en algún sistema previsional?,6,6. No está cotizando,"45,195"
o32_esp,o32_esp. Especifique otro sistema previsional,Texto,Válidos,344
o32b,"o32b. En los últimos 12 meses, ¿realizó algún retiro del 10% en la AFP?",-88,No sabe,"2,284"
o32b,"o32b. En los últimos 12 meses, ¿realizó algún retiro del 10% en la AFP?",1,1. Sí,"35,702"
o32b,"o32b. En los últimos 12 meses, ¿realizó algún retiro del 10% en la AFP?",2,2. No,"72,748"
