comuna_name,locode,main_biome,all_biomes
Nacimiento,CL NAC,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Nancagua,CL NCG,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Natales,CL CVJ,Temperate Broadleaf & Mixed Forests,"['N/A', 'Temperate Broadleaf & Mixed Forests', 'Temperate Grasslands, Savannas & Shrublands']"
Navidad,CL NAV,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Negrete,CL NEG,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Ninhue,CL NIN,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Nogales,CL NOG,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Nueva Imperial,CL NIM,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
O'Higgins,CL OHI,Temperate Broadleaf & Mixed Forests,"['N/A', 'Temperate Broadleaf & Mixed Forests']"
Olivar,CL OLI,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Ollagüe,CL OLL,Montane Grasslands & Shrublands,['Montane Grasslands & Shrublands']
Olmué,CL OLM,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Osorno,CL ZOS,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Ovalle,CL OVL,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Padre Hurtado,CL PHU,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Padre Las Casas,CL PLC,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Paihuano,,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Paillaco,CL PAO,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Paine,CL PNE,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Palena,CL PAL,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Palmilla,CL PMA,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Panguipulli,CL PAN,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Panquehue,CL PQH,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Papudo,CL PAP,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Paredones,CL PAR,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Parral,CL PRL,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Pedro Aguirre Cerda,,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Pelarco,CL PEL,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Pelluhue,CL PLH,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Pemuco,CL PEM,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Pencahue,CL PEN,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Penco,CL PEO,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Peralillo,CL PER,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Perquenco,CL PQC,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Petorca,CL PET,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Peumo,CL PEU,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Peñaflor,CL PFL,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Peñalolén,CL PLN,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Pica,CL PIC,Montane Grasslands & Shrublands,"['Deserts & Xeric Shrublands', 'Montane Grasslands & Shrublands']"
Pichidegua,CL PDH,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Pichilemu,CL PLM,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Pinto,CL PIN,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Pirque,CL PIR,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Pitrufquén,CL PIT,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Placilla,CL PLA,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Portezuelo,CL POR,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Porvenir,CL PVR,"Temperate Grasslands, Savannas & Shrublands","['Temperate Broadleaf & Mixed Forests', 'Temperate Grasslands, Savannas & Shrublands']"
Primavera,CL PRI,"Temperate Grasslands, Savannas & Shrublands","['Temperate Grasslands, Savannas & Shrublands']"
Providencia,CL PRO,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Puchuncaví,CL PCI,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Pucón,CL PUC,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Pudahuel,CL PUD,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Puente Alto,CL PTA,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Puerto Montt,CL PMC,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Puerto Octay,CL POC,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Puerto Varas,CL PVS,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Pumanque,CL PUM,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Punitaqui,CL PUN,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Punta Arenas,CL PUQ,Temperate Broadleaf & Mixed Forests,"['N/A', 'Temperate Broadleaf & Mixed Forests', 'Temperate Grasslands, Savannas & Shrublands']"
Puqueldón,CL PQD,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Purranque,CL PRQ,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Purén,CL PUR,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Putaendo,CL PTO,Montane Grasslands & Shrublands,"['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Putre,CL PUT,Montane Grasslands & Shrublands,"['Deserts & Xeric Shrublands', 'Montane Grasslands & Shrublands']"
Puyehue,CL CSA,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Queilén,CL QLN,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Quellón,CL PTE,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Quemchi,CL QMC,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Quilaco,,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Quilicura,CL QUI,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Quilleco,CL QLO,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Quillota,CL QTA,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Quillón,CL QIN,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Quilpué,CL QIL,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Quinchao,CL QCO,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Quinta Normal,,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Quinta de Tilcoco,CL QDT,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Quintero,,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Quirihue,CL QRH,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Rancagua,CL QRC,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Ranquil,CL RAN,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Rauco,CL RAU,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Recoleta,CL REC,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Renaico,CL RNO,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Renca,CL REN,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Rengo,CL RGO,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands', 'Temperate Broadleaf & Mixed Forests']"
Requínoa,CL REQ,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Retiro,CL RET,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Rinconada,CL RIN,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Romeral,CL ROM,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands', 'Temperate Broadleaf & Mixed Forests']"
Río Bueno,,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Río Claro,CL RCL,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Río Hurtado,CL RHU,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Río Ibáñez,CL RIB,Temperate Broadleaf & Mixed Forests,"['Temperate Broadleaf & Mixed Forests', 'Temperate Grasslands, Savannas & Shrublands']"
Río Negro,CL RNE,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Río Verde,CL RVE,Temperate Broadleaf & Mixed Forests,"['Temperate Broadleaf & Mixed Forests', 'Temperate Grasslands, Savannas & Shrublands']"
Saavedra,CL SAA,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Sagrada Familia,CL SAF,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Salamanca,CL SAL,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
San Antonio,CL SAI,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
San Bernardo,CL SBD,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
San Carlos,CL SCR,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
San Clemente,CL SCT,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands', 'Temperate Broadleaf & Mixed Forests']"
San Esteban,CL SES,Montane Grasslands & Shrublands,"['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
San Fabián,CL SFN,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
San Felipe,CL SFP,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
San Fernando,CL SFD,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands', 'Temperate Broadleaf & Mixed Forests']"
San Gregorio,CL SGR,"Temperate Grasslands, Savannas & Shrublands","['Temperate Broadleaf & Mixed Forests', 'Temperate Grasslands, Savannas & Shrublands']"
San Ignacio,CL SIN,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
San Javier,CL SJV,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
San Joaquín,CL SJQ,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
San José de Maipo,CL SJM,Temperate Broadleaf & Mixed Forests,"['Montane Grasslands & Shrublands', 'Temperate Broadleaf & Mixed Forests']"
San Juan de la Costa,CL SJC,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
San Miguel,CL SMG,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
San Nicolás,CL SNI,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
San Pablo,CL SPB,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
San Pedro,CL SPE,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
San Pedro de Atacama,CL SPA,Montane Grasslands & Shrublands,['Montane Grasslands & Shrublands']
San Pedro de la Paz,CL SPP,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
San Rafael,CL SRA,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
San Ramón,,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
San Rosendo,CL SRO,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
San Vicente,CL SVT,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Santa Bárbara,CL SBA,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Santa Cruz,CL SCZ,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Santa Juana,CL SJU,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Santa María,CL SMA,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Santiago,CL SCL,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Santo Domingo,CL RSD,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Sierra Gorda,CL SIG,Deserts & Xeric Shrublands,"['Deserts & Xeric Shrublands', 'Montane Grasslands & Shrublands']"
Talagante,CL TLG,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Talca,CL TLX,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Talcahuano,CL TAL,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Taltal,CL TTC,Deserts & Xeric Shrublands,"['Deserts & Xeric Shrublands', 'Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Temuco,CL ZCO,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Teno,CL TEN,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Teodoro Schmidt,CL TEO,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Tierra Amarilla,CL TAM,Montane Grasslands & Shrublands,"['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Tiltil,CL TIL,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Timaukel,CL TIM,Temperate Broadleaf & Mixed Forests,"['N/A', 'Temperate Broadleaf & Mixed Forests', 'Temperate Grasslands, Savannas & Shrublands']"
Tirúa,CL TIR,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Tocopilla,,Deserts & Xeric Shrublands,"['Deserts & Xeric Shrublands', 'Montane Grasslands & Shrublands']"
Toltén,CL TOL,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Tomé,CL TOM,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Torres del Paine,CL TDP,Temperate Broadleaf & Mixed Forests,"['N/A', 'Temperate Broadleaf & Mixed Forests', 'Temperate Grasslands, Savannas & Shrublands']"
Tortel,,Temperate Broadleaf & Mixed Forests,"['N/A', 'Temperate Broadleaf & Mixed Forests', 'Temperate Grasslands, Savannas & Shrublands']"
Traiguén,CL TRA,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Treguaco,CL TRE,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Tucapel,CL TUC,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Valdivia,CL ZAL,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Vallenar,CL VLR,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Valparaíso,CL VAP,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Vichuquén,CL VCQ,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Victoria,CL ZIC,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Vicuña,CL VIC,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Vilcún,CL VCN,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Villa Alegre,CL VAG,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Villa Alemana,CL VIA,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Villarrica,CL VIL,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Vitacura,CL VIT,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Viña del Mar,CL KNA,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Yerbas Buenas,CL YBU,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Yumbel,CL YUM,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Yungay,CL YUN,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Zapallar,,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Ñiquén,CL NQN,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Ñuñoa,CL NUN,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
